No, Forams, ChambersAvg, AlgaeSum, Die, New
1,8,1,567.635,0,0
2,8,1,885.73,0,0
3,8,1,893.075774862,0,0
4,8,1,893.664129873,0,0
5,8,1,894.618355011,0,0
6,8,1,895.0,0,0
7,8,1,895.125665039,0,0
8,8,1,896.135665039,0,0
9,8,1,897.033680731,0,0
10,8,1,897.518680731,0,0
11,8,2,898.0,0,0
12,8,2,898.0,0,0
13,8,2,898.0,0,0
14,8,2,898.0,0,0
15,8,3,898.0,0,0
16,16,1,898.0,1,9
17,16,2,898.0,0,0
18,16,2,898.0,0,0
19,16,2,898.0,0,0
20,32,1,898.050575339,2,18
21,32,1,899.0,0,0
22,40,1,899.0,1,9
23,40,1,899.0,0,0
24,40,1,899.0,0,0
25,40,1,899.0,0,0
26,40,1,899.060475681,0,0
27,48,1,900.838720428,1,9
28,48,1,901.0,0,0
29,48,1,901.0,0,0
30,48,1,901.0,0,0
31,48,1,901.0,0,0
32,56,1,901.0,1,9
33,64,1,901.0,1,9
34,64,1,901.0,0,0
35,64,1,901.0,0,0
36,72,1,901.0,1,9
37,72,1,901.010818682,0,0
38,88,1,901.615818682,2,18
39,96,1,902.029119535,1,9
40,104,1,902.584119535,1,9
41,104,1,903.0,0,0
42,112,1,903.0,1,9
43,120,1,903.0,1,9
44,136,1,903.0,2,18
45,152,1,902.78,2,18
46,160,1,902.615,1,9
47,168,1,902.585,1,9
48,192,1,902.224396917,3,27
49,240,1,902.349396917,6,54
50,256,1,901.444396917,2,18
51,288,1,901.149599147,4,36
52,304,1,903.0,2,18
53,344,1,903.0,5,45
54,368,1,903.0,3,27
55,400,1,903.0,4,36
56,408,1,903.0,1,9
57,416,1,902.0,1,9
58,432,1,901.995,2,18
59,464,1,899.0,4,36
60,480,1,898.0,2,18
61,488,1,895.302450697,1,9
62,520,1,889.767823833,4,36
63,568,1,882.647823833,6,54
64,616,1,873.207823833,6,54
65,640,1,861.69,3,27
66,688,1,847.685047527,6,54
67,752,1,834.927636681,8,72
68,800,1,824.772636681,6,54
69,846,1,809.595,8,54
70,966,1,790.6,15,135
71,1054,1,763.565544703,11,99
72,1118,1,739.580544703,8,72
73,1233,1,715.476516062,20,135
74,1312,1,676.725,11,90
75,1410,1,639.83,19,117
76,1490,1,602.295,10,90
77,1585,1,555.847939003,22,117
78,1737,1,509.162493314,28,180
79,1839,1,459.797493314,24,126
80,1924,1,412.089554311,23,108
81,2013,1,368.64,28,117
82,2120,1,320.060604061,54,161
83,2196,1,279.93,47,123
84,2288,1,233.72,80,172
85,2345,1,197.540623642,99,156
86,2307,1,170.895,129,91
87,2226,1,153.52,195,114
88,2244,1,131.46,157,175
89,2135,1,117.77,222,113
90,2010,1,100.674596675,206,81
91,1805,1,85.685,277,72
92,1701,1,63.715,185,81
93,1588,1,43.165,194,81
94,1455,1,23.69,158,25
95,1324,1,9.62,198,67
96,1205,1,1.49,154,35
97,1055,1,0.0,195,45
98,944,1,0.0737047350193,138,27
99,778,1,0.0,166,0
100,667,1,0.323288148249,138,27
101,585,1,1.23281726075,100,18
102,493,1,2.09999986242,101,9
103,403,1,2.74999986242,90,0
104,352,1,2.73375735188,69,18
105,304,1,2.75914467313,57,9
106,243,1,2.56038732125,70,9
107,192,1,3.0,51,0
108,142,1,2.965,50,0
109,105,1,2.93,37,0
110,77,1,2.86275578662,37,9
111,53,1,4.94996959321,24,0
112,38,1,6.0,15,0
113,37,1,6.0,10,9
114,35,1,6.0,2,0
115,39,1,6.0,5,9
116,38,1,6.0,1,0
117,38,1,6.0833078415,0,0
118,46,1,7.0,1,9
119,54,1,7.0,1,9
120,62,1,7.0,1,9
121,62,1,6.0,0,0
122,62,1,4.9288496048,0,0
123,62,1,4.89622726104,0,0
124,62,1,5.28122726104,0,0
125,62,1,5.66622726104,0,0
126,60,1,5.7,2,0
127,60,1,5.65,0,0
128,49,1,5.65076962549,11,0
129,56,1,6.17576962549,2,9
130,53,1,6.50933836129,3,0
131,53,1,7.72433836129,0,0
132,46,1,8.245,7,0
133,45,1,6.7,1,0
134,45,1,6.0,0,0
135,52,1,6.03027198516,2,9
136,59,1,6.0,2,9
137,59,1,6.11419081047,0,0
138,59,1,6.69402088667,0,0
139,40,1,8.60283677417,19,0
140,40,1,9.73783677417,0,0
141,37,1,10.0,3,0
